term,catalog_year,prefix,number,title,description,units,sections_offered,url
Fall 2025,2025-2026,ACC,205,Introduction To Business Law,"An introduction to business-related legal, regulatory, global, and ethical issues. Topics include contract law, intellectual property, employment law, business structures, and alternative dispute resolution. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=000799&term=1257
Fall 2025,2025-2026,ACC,405,Advanced Business Law,"In-depth study of legal issues related to advising businesses from an accounting or senior management perspective, including contract law, securities law, administrative law, employment law, ethics and other legal topics.  Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=000802&term=1257
Fall 2025,2025-2026,ACC,205H,Introduction To Business Law - Honors,"An introduction to business-related legal, regulatory, global, and ethical issues. Topics include contract law, intellectual property, employment law, business structures, and alternative dispute resolution. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=010175&term=1257
Fall 2025,2025-2026,ACC,355H,Financial Reporting I - Honors,"Current accounting objectives, principles, theory, and practice in the preparation, interpretation, and analysis of general-purpose financial statements for business entities. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=010744&term=1257
Fall 2025,2025-2026,ACC,299,Special Topics,"In-depth study of an aspect, concept, or problem. Letter grade only. May be repeated for up to 6 units of credit.",1-3,,https://catalog.nau.edu/Courses/course?courseId=011007&term=1257
Fall 2025,2025-2026,ACC,206,Language For Business Law,This is language- and content-enrichment course that is linked to ACC 205: Introduction to Business Law. The goal of this course is to help students better understand the language of U. S. business by reinforcing the content and concepts of ACC 205.  Department consent required.  Letter grade only.,3,,https://catalog.nau.edu/Courses/course?courseId=011574&term=1257
Fall 2025,2025-2026,ACC,340,Accounting Ethics,"This course is a study of accounting ethics, related professional responsibilities and their relationships with business issues. It covers the identification of ethical issues, analysis of the issues using a multiple frameworks and theories, and development of conclusions and action items to resolve those issues. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=011912&term=1257
Fall 2025,2025-2026,ACC,408H,Fieldwork Experience - Honors,Individualized supervised field experience in an appropriate agency or organization. Pass-fail only. May be repeated for an unlimited number of units.,1-12,,https://catalog.nau.edu/Courses/course?courseId=013244&term=1257
Fall 2025,2025-2026,ACC,340H,Accounting Ethics - Honors,"This course is a study of accounting ethics, related professional responsibilities and their relationships with business issues. It covers the identification of ethical issues, analysis of the issues using a multiple frameworks and theories, and development of conclusions and action items to resolve those issues. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=013386&term=1257
Fall 2025,2025-2026,ACC,302H,Cost Accounting - Honors,"Introduces the compilation, analysis, and interpretation of accounting for manufacturing and service expenditures with emphasis on techniques and uses for planning, control, and decision making. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=013457&term=1257
Fall 2025,2025-2026,ACC,448,Data Analytics In Accounting,"Survey course of data analytics topics with a focus on accounting-specific business problems. Students will develop a framework for evaluating when and how business data may be used to address accounting-related questions using data analytics. Topics will include the ETL (extract, transform, load) process, quantitative analysis, data mining, predictive and prescriptive modeling, other advanced analytics techniques unique to the accounting field. This course requires the use of various software - a laptop that runs either a Windows or MAC OS operating system is required to complete the course. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=013705&term=1257
Fall 2025,2025-2026,ACC,456H,Governmental And Non Profit Accounting,"Accounting theory, objectives, principles, and practice in the preparation, interpretation, and analysis of financial statements for state and local governments and nonprofit organizations. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=013915&term=1257
Fall 2025,2025-2026,ACC,365,Risk Management And Compliance,"Businesses must comply with certain policies and laws as set forth by the government. This course examines the development of the relationship between businesses and the government, exploring ethical decision-making and high-risk choices that may lead to legal and financial repercussions. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=014413&term=1257
Fall 2025,2025-2026,ACC,460H,Individual Taxation - Honors,"Introduces tax compliance, research, and planning strategies for individual taxpayers.  
Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=014470&term=1257
Fall 2025,2025-2026,ACC,448H,Data Analytics In Accounting - Honors,"Survey course of data analytics topics with a focus on accounting-specific business problems. Students will develop a framework for evaluating when and how business data may be used to address accounting-related questions using data analytics. Topics will include the ETL (extract, transform, load) process, quantitative analysis, data mining, predictive and prescriptive modeling, other advanced analytics techniques unique to the accounting field. This course requires the use of various software - a laptop that runs either a Windows or MAC OS operating system is required to complete the course. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=014483&term=1257
Fall 2025,2025-2026,ACM,210,Arts And Cultural Management,"History, law, and problems associated with art and cultural organizations in the non-profit, for profit, and public sector; fund raising, grant writing, marketing/publicity, personnel management, programming, and office management. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=000230&term=1257
Fall 2025,2025-2026,ACM,310,Marketing And Management Of Arts And Cultural Enterprises,"Marketing of arts and cultural enterprises in the non-profit, for profit, and public sector and management of marketing processes including research, planning, implementation, and evaluation. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=000232&term=1257
Fall 2025,2025-2026,ACM,408,Fieldwork Experience,Supervised field experience in an appropriate agency or organization.  Pass/Fail only. May be repeated for credit.,1-12,,https://catalog.nau.edu/Courses/course?courseId=000235&term=1257
Fall 2025,2025-2026,ACM,497,Independent Study,Individualized approach to selected topics by guided reading and critical evaluation. Pass/Fail only. No repeat limit. Please complete the Independent Study Proposal form and obtain signatures of approval BEFORE registering.  https://nau.edu/wp-content/uploads/sites/26/Independent_Study_Form_FINAL-3.pdf,1-6,,https://catalog.nau.edu/Courses/course?courseId=000238&term=1257
Fall 2025,2025-2026,ACM,499,Contemporary Developments,Examines recent trends and investigations in a selected area.  Letter grade only.  No repeat limit.,1-3,,https://catalog.nau.edu/Courses/course?courseId=000239&term=1257
Fall 2025,2025-2026,ACM,399,Special Topics,"In-depth study of an aspect, concept, or problem. Letter grade only. May be repeated for up to 6 units of credit. A specific topic may be offered under this course line no more than three times.",1-3,,https://catalog.nau.edu/Courses/course?courseId=010971&term=1257
Fall 2025,2025-2026,ACM,350,Arts And Cultural Policy,Critically examines arts and cultural policy in contemporary arts and cultural management.  It examines informal and formal public policies in arts and culture and the challenges that present themselves.  Letter grade only.,3,,https://catalog.nau.edu/Courses/course?courseId=010980&term=1257
Fall 2025,2025-2026,ACM,355,Topics In Arts And Cultural Management,"This course examines selected topics in Arts and Cultural Management, such as Fundraising and Development for Businesses in the Arts, Arts Entrepreneurship, Accessibility in the Arts: Universal Design, Donor Database Management, and Experiencing Arts Management Abroad.  Letter grade only.  May be repeated for up to 6 units of credit.",3,,https://catalog.nau.edu/Courses/course?courseId=012080&term=1257
Fall 2025,2025-2026,ACM,485,Undergraduate Research,Individualized original research under the supervision of a research adviser. Department consent required. Pass-fail only.,1-6,,https://catalog.nau.edu/Courses/course?courseId=012768&term=1257
Fall 2025,2025-2026,ACM,310H,Marketing And Management Of Arts And Cultural Enterprises - Honors,"Marketing of arts and cultural enterprises in the non-profit, for profit, and public sector and management of marketing processes including research, planning, implementation, and evaluation. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=013062&term=1257
Fall 2025,2025-2026,ADV,299,Special Topics,"In-depth study of an aspect, concept, or problem.  Letter grade only.  May be repeated for a maximum of 6 units.",1-3,,https://catalog.nau.edu/Courses/course?courseId=000197&term=1257
Fall 2025,2025-2026,ADV,307,Advertising Copy And Layout,Practical application of advertising design techniques and electronic layout. Creative strategy. Intensive practice in copy writing for various media channels. Taught in a computer lab. Letter grade only.,3,,https://catalog.nau.edu/Courses/course?courseId=000198&term=1257
Fall 2025,2025-2026,ADV,310,Advertising Media Selection,"Planning, analyzing, and selecting media to advertise goods and services; determining strategies for media selection. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=000199&term=1257
Fall 2025,2025-2026,ADV,311W,Creative Advertising Strategies,Developing and implementing advertising strategies as they relate to executing a marketing plan. This course fulfills NAU's junior-level writing requirement. Letter grade only.,3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=000201&term=1257
Fall 2025,2025-2026,ADV,389,Cooperative Education,"Individualized preplanned cooperative employment experience related to
your field of study or career objectives. Department consent required. Pass-Fail only. May be repeated for up to 12 units of credit. Please complete the Cooperative Education Proposal form and obtain signatures of approval BEFORE registering. 
https://policy.nau.edu/policy/Documents/Cooperative_Education_Form_121317.pdf",1-12,,https://catalog.nau.edu/Courses/course?courseId=000202&term=1257
Fall 2025,2025-2026,ADV,408,Fieldwork Experience,Individualized supervised field experience in an appropriate agency or organization.  May be repeated for credit.  Department consent required.  Pass-fail only.,1-12,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=000204&term=1257
Fall 2025,2025-2026,ADV,411C,Advertising Campaigns,"Designing complete advertising campaigns with an emphasis on consumer research, market planning, creative production techniques, media selection, and budgeting.  Letter grade only. May be repeated for a maximum of 6 units.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=000206&term=1257
Fall 2025,2025-2026,ADV,466,Legislative Or The Washington Center Internship,"Supervised internship in the Arizona Legislature or the Washington Center. Students are selected on a competitive basis, and you must apply the term prior to the internship. Students must meet requirements of the program to be eligible. Course enrollment is handled by the internship coordinator after selections have been made. Pass/Fail only.",1-12,,https://catalog.nau.edu/Courses/course?courseId=000207&term=1257
Fall 2025,2025-2026,ADV,485,Undergraduate Research,Original research under the supervision of a research adviser. Pass-fail only.  May be repeated for up to 12 units of credit.  Department consent required.,1-6,,https://catalog.nau.edu/Courses/course?courseId=000208&term=1257
Fall 2025,2025-2026,ADV,497,Independent Study,Individualized approach to selected topics by guided reading and critical evaluation. Pass/Fail only. No repeat limit. Department consent required. Please complete the Independent Study Proposal form and obtain signatures of approval BEFORE registering: https://nau.edu/wp-content/uploads/sites/26/Independent_Study_Form_FINAL-3.pdf,1-6,,https://catalog.nau.edu/Courses/course?courseId=000209&term=1257
Fall 2025,2025-2026,ADV,399,Special Topics,"In-depth study of an aspect, concept, or problem within a program of study.  Letter grade only.  May be repeated for up to 6 hours of credit.",1-3,,https://catalog.nau.edu/Courses/course?courseId=009749&term=1257
Fall 2025,2025-2026,ADV,208,Fieldwork Experience,"Supervised field experience in an appropriate organization, for students with limited background in a discipline. Department consent required. Pass-Fail only. May be repeated for up to six units of credit.",1-6,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=011607&term=1257
Fall 2025,2025-2026,,,ADV 411CH - Advertising Campaigns - Honors,"Designing complete advertising campaigns with an emphasis on consumer research, market planning, creative production techniques, media selection, and budgeting.  Letter grade only. May be repeated for a maximum of 6 units.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=012353&term=1257
Fall 2025,2025-2026,ADV,307H,Advertising Copy And Layout - Honors,Practical application of advertising design techniques and electronic layout. Creative strategy. Intensive practice in copy writing for various media channels. Taught in a computer lab. Letter grade only.,3,,https://catalog.nau.edu/Courses/course?courseId=012457&term=1257
Fall 2025,2025-2026,ADV,309,Advanced Advertising Development,"This course will help you understand how excellent ads are created and give you experience developing ads for a variety of platforms. You'll learn how the four key areas of advertising agencies (research, media selection, account management, and creative) work together to create successful ad campaigns on a variety of platforms. You will enhance skills gained in STR 307 in InDesign, Photoshop, Illustrator, and emerging technologies. You will refine and expand abilities to identify and address a clearly defined target audience. You will also learn basic skills in media selection. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=013350&term=1257
Fall 2025,2025-2026,ADV,309H,Advanced Advertising Development - Honors,"This course will help you understand how excellent ads are created and give you experience developing ads for a variety of platforms. You'll learn how the four key areas of advertising agencies (research, media selection, account management, and creative) work together to create successful ad campaigns on a variety of platforms. You will enhance skills gained in STR 307 in InDesign, Photoshop, Illustrator, and emerging technologies. You will refine and expand abilities to identify and address a clearly defined target audience. You will also learn basic skills in media selection. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=014377&term=1257
Fall 2025,2025-2026,ADV,310H,Advertising Media Selection - Honors,"Planning, analyzing, and selecting media to advertise goods and services; determining strategies for media selection. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=014475&term=1257
Fall 2025,2025-2026,,,ADV 311WH - Creative Advertising Strategies - Honors,Developing and implementing advertising strategies as they relate to executing a marketing plan. This course fulfills NAU's junior-level writing requirement. Letter grade only.,3,,https://catalog.nau.edu/Courses/course?courseId=014477&term=1257
Fall 2025,2025-2026,AHB,350,"Inequality, Social Justice And Global Citizenship In The 21st Century","This course will challenge the student to consider personal socio-political value systems through understanding present sociological, philosophical, and social work theories on social, economic, and political stratification.  Students apply classical and modern theoretical models, empirical data, and concepts of global citizenship and sustainability to evaluate current institutions and social systems that support stratification in contemporary society. Course activities challenge students to use analytical tools for recognizing, analyzing, and working to solve problems of social inequality.  Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=012366&term=1257
Fall 2025,2025-2026,AHB,365,Environmental And Biological Foundations Of Human Behavior,"Course content engages students in the understanding of the biological basis for our decision-making, substance use, mental health, learning and loving patterns. Students will explore the role of the nervous system, brain functions and the use of psychopharmacology on adults in industrialized countries. Students analyzes behavioral and biological theories with special regards to their relevance to individuals, families, groups, organization, institutions and communities; and the consideration of social, cultural, and economic factors affecting human behavior. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=012367&term=1257
Fall 2025,2025-2026,AHB,390,Diverse Work Environments,"This course engages students in understanding the ethical, legal, and social implications of incorporating diversity in professional settings. Content encourages application of successful management skills that celebrates primary and secondary diversity in real-life situations. Students explore the importance of understanding inclusion and social location including race, gender, class, age, sexual orientation, religion, nation and ability, and experience when building successful professional environments. Materials support students to challenge personal bias and develop new professional skills. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=012368&term=1257
Fall 2025,2025-2026,AHB,420,"Addictions, Recovery And Resiliency","This course explores the biopsychosocial causes of substance use, abuse, and addiction. Course work considers the primary, secondary and tertiary impacts of substance abuse and addiction on individuals and society.  Coursework integrates traditional development theories with the most current research on how to support identity development when working in the recovery field. Students learn about and practice using a strengths-based perspective in the most common interventions and treatment today including Motivational Interviewing, Cognitive Behavioral Treatment, and 12-Step models. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=012369&term=1257
Fall 2025,2025-2026,AHB,450,Practice And Intervention,"This course explores the theories, developmental principles, and treatment modalities related to human relationships, trauma, and interventions. Students are exposed to the prevalent theories and treatment for families and partners experiencing domestic violence and abuse, learn in-depth about the most current DSM-V diagnoses, distinguish between acute trauma and post-traumatic stress diagnoses, and best practice interventions. Students are challenged to perceive the trauma experience through a holistic lens, evaluating the societal norms and resources afforded individuals experiencing different types of crisis and trauma. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=012370&term=1257
Fall 2025,2025-2026,AHB,340,Theoretical Perspectives On Behavior Variance,"This course evaluates theories of deviance from sociological, psychological, and social work perspectives and the development and enforcement of cultural norms and mores in micro, mezzo, and macro environments. Particular emphasis is given to current cultural issues and how individuals, groups, and behaviors are judged as criminally, socially, or clinically deviant. Students are challenged to confront personal biases and evaluate how globalization and culture plays a role in deviance today. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=012571&term=1257
Fall 2025,2025-2026,AHB,375,Community Planning And Sustainable Practices,"This course explores important substantive areas and concepts in the field of urban and regional planning. Specific attention is paid to discussing the strategic role of public planners and stakeholders in community growth and sustainability. Students have the opportunity to explore theory and applied practice in community planning. Topics include: historical forces currently guiding U.S. urbanization, land use, growth management, transportation, economic development, housing and community development, environmental planning; legal, environmental, governmental contexts. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=012572&term=1257
Fall 2025,2025-2026,AHB,425,Direct Practice Documentation,"This course prepares students for employment in the human behavior profession and familiarizes students with the legal, ethical, and documentation skills associated with direct practice and social service, medical, and other interdisciplinary human service settings. Students will have the opportunity to learn about and practice a variety of documentation skills related to intake, assessment, service plan development models, record-keeping, intervention, continuity of care, follow-up care, confidentiality, coordination, and termination of client care. Letter grade only.",3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=012573&term=1257
Fall 2025,2025-2026,AHB,305W,Research Methods In Applied Human Behavior,"This writing course is designed for students who wish to gain an understanding of the potential uses and limitations of social science research. It is intended to increase your awareness of the research process in the behavioral health field and your ability to conduct research in a thorough and ethical manner. Research Methods is designed to give you a foundation in the qualitative and quantitative methodologies associated with research analysis. Applied Human Behavior students have the opportunity to identify correlations between the causes of observed phenomena and their consequences and to draw reliable causal explanations of current human behavior issues. You have the opportunity to learn APA style writing through researching, organizing, and writing a well-developed research proposal using practice assignments along with peer and faculty feedback to draft and revise proposal elements. In particular, you will learn to identify research problems, develop viable research questions, and match those questions with the correct research tools and methodologies necessary to develop a complete research proposal. The practical knowledge and skills emphasized in this course can be applied to support best practice in academic, clinical, and administrative profession environments. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=012730&term=1257
Fall 2025,2025-2026,AHB,495C,Applied Human Behavior Portfolio Capstone,"This course provides students with the opportunity to think critically about their learning experiences in the Applied Human Behavior program and reflect on how their education at Northern Arizona University has prepared them for meeting the critical challenges of direct practice and professional administrative settings. Students will develop a three-part portfolio capstone project that analyzes how the program artifacts they have created in the AHB program relate specifically to core program objectives and have prepared them for entering the professional community. Students will then assemble a creative representation of their personal growth during the program. The portfolio project encompasses the conception, planning, and development of a rationale essay, creative project, and portfolio presentation. Students are asked to participate in teamwork, develop draft assignments, engage in constructive peer feedback sessions, and prepare effective written and oral presentations. Portfolio elements challenge students to organize, analyze, critically assess, defend, and apply their body of work in preparation for developing resumes, applying for professional positions, or submitting applications to advanced academic degree programs. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=012731&term=1257
Fall 2025,2025-2026,AIS,101,Introduction To Indigenous Studies,"Surveys concepts, methods, and content relevant to Applied Indigenous Studies, using examples from diverse indigenous cultures. This course demonstrates the interdependence of social, political, religious, and economic aspects of indigenous experience, processes that are best understood through interdisciplinary study.  Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=000210&term=1257
Fall 2025,2025-2026,AIS,201,American Indian Expression,Examines different forms of American Indian expression that reflect living cultures and traditions. Particular attention will be given to the ways in which expressive forms function in Native communities in the past and present. Letter grade only.,3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=000211&term=1257
Fall 2025,2025-2026,AIS,202,Roots Of Federal American Indian Policy,"Surveys basic concepts and ideologies surrounding modern U.S. federal Indian policy, emphasizing stereotypes, historical controversies, and cultural differences. Letter grade only.",3,Spring 2026; Summer 2026,https://catalog.nau.edu/Courses/course?courseId=000213&term=1257
Fall 2025,2025-2026,AIS,304,Indigenous-state Relations: Comparative Global Contexts,"As a critical approach to the study of Federal Indian Law, this course will examine the basic principles of Indian Law in the United States in a comparative context, utilizing both other British-influenced legal systems (Canada, New Zealand, Australia) as well as those of other former colonial powers, such as Spain and France. The course would include an introduction to Federal Indian Law as usually conceived. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=000214&term=1257
Fall 2025,2025-2026,AIS,236,Governments Of Indigenous Nations Of The United States,"This undergraduate elective provides an overview of the development of modern governments of Indigenous nations in the United States, their powers, the challenges they have faced, and the range of strategies they have developed to assert their sovereignty and self-determination in response to these challenges. We will study current news events and social media content to learn how Indigenous governments are working today to build Indigenous futures within the borders of the U.S.  Cross-listed with POS 236 and SOC 236. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=000215&term=1257
Fall 2025,2025-2026,AIS,299,Special Topics,"In-depth study of an aspect, concept, or problem.  Letter grade only.  May be repeated for a maximum of 6 units.",1-3,,https://catalog.nau.edu/Courses/course?courseId=000216&term=1257
Fall 2025,2025-2026,AIS,301W,Communication Skills For Applied Indigenous Studies,"This is the required junior-level writing course for AIS students. It assists students with developing the communication skills needed by professionals working in indigenous communities and organizations. Students will develop skills in writing any of the following: policy, business plans, environmental impact statements, research reports, grants, and other documents as required. They will also develop oral and non-verbal communication skills which will focus on culturally sensitive communication. This course fulfills NAU's junior-level writing requirement. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=000218&term=1257
Fall 2025,2025-2026,AIS,336,Indigenous Politics: Social And Political Movements,"This undergraduate elective class will guide students in developing an advanced level of knowledge and understanding of political thought and action by Indigenous people.  The primary focus is the United States, but our study will also include influences that cross international borders, which were imposed on Indigenous nations and lands without their consent.  Our subject matter will include social and political movements originating in grassroots Indigenous communities, as well as those originating in Indigenous governments.  In the U.S. as globally, social and political relationships between Indigenous and settler nations are typified by conflict, with less frequent exceptions featuring cooperation and mutual benefit.  Examining these relationships will complicate and question common conceptions and misconceptions about the history of Indigenous and settler nation political interaction. Yet, increasingly, our globalizing world forces us to re-consider these relationships in light of global concerns. This course will give us a general understanding of how these entities interact in complimentary, inefficient, and contradictory ways. Cross-listed with POS 336 and SOC 336. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=000219&term=1257
Fall 2025,2025-2026,AIS,399,Special Topics,"In-depth study of an aspect, concept, or problem within a program of study.  Letter grade only.  May be repeated for a maximum of 6 units.",1-3,Spring 2026,https://catalog.nau.edu/Courses/course?courseId=000222&term=1257
Fall 2025,2025-2026,AIS,404,Indigenous Nation-building I,"This course teaches the theory of policy development in Indian Country, exploring critical nation-building issues confronting Indigenous peoples in North America. With a primary focus on Native peoples in the United States, this course will examine multi-dimensional settings that confront Native societies and their social, cultural, political, educational, and economic leaders. Letter grade only.",3,,https://catalog.nau.edu/Courses/course?courseId=000223&term=1257
